5308|Y|Y|CT_AR_ALLOCATION|CUSTOM4|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5309|Y|Y|CT_AR_ALLOCATION|CUSTOM5|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5310|Y|Y|CT_AR_ALLOCATION|CUSTOM6|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5311|Y|Y|CT_AR_ALLOCATION|CUSTOM7|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5312|Y|Y|CT_AR_ALLOCATION|CUSTOM8|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5313|Y|Y|CT_AR_ALLOCATION|CUSTOM9|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5314|Y|Y|CT_AR_ALLOCATION|CUSTOM10|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5315|Y|Y|CT_AR_ALLOCATION|CUSTOM11|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5316|Y|Y|CT_AR_ALLOCATION|CUSTOM12|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5317|Y|Y|CT_AR_ALLOCATION|CUSTOM13|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5318|Y|Y|CT_AR_ALLOCATION|CUSTOM14|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5319|Y|Y|CT_AR_ALLOCATION|CUSTOM15|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5320|Y|Y|CT_AR_ALLOCATION|CUSTOM16|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5321|Y|Y|CT_AR_ALLOCATION|CUSTOM17|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5322|Y|Y|CT_AR_ALLOCATION|CUSTOM18|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5323|Y|Y|CT_AR_ALLOCATION|CUSTOM19|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5324|Y|Y|CT_AR_ALLOCATION|CUSTOM20|N|VARCHAR|48|N||Y||2010-10-16 03:56:00|
5325|N|Y|CT_AR_ONLINE_OFFLINE_CRITERIA|CRITERIA_KEY|N|INTEGER||Y||||2010-10-16 03:56:00|
5326|N|Y|CT_AR_ONLINE_OFFLINE_CRITERIA|HIER_NODE_KEY|Y|INTEGER||Y||||2010-10-16 03:56:00|
